iteration,timestamp,sigma_pred,local_scale,corr_rolling50,param_mu,param_omega,param_alpha[1],param_gamma[1],param_beta[1],param_nu
1,2025-02-01 00:05:00,0.0034212335936820463,1.68904061561884,,0.009051806042491978,0.0029085613491587614,0.2317876404276546,5.183535293229037e-05,0.9795689924833934,5.313895143876204
2,2025-02-01 00:10:00,0.003421179494639494,1.6887735321893258,,0.009051806042491978,0.0029085613491587614,0.2317876404276546,5.183535293229037e-05,0.9795689924833934,5.313895143876204
3,2025-02-01 00:15:00,0.0034205281001692695,1.6857980154436822,,0.009051806042491978,0.0029085613491587614,0.2317876404276546,5.183535293229037e-05,0.9795689924833934,5.313895143876204
4,2025-02-01 00:20:00,0.0033903262377261464,1.5395877014772712,,0.009051806042491978,0.0029085613491587614,0.2317876404276546,5.183535293229037e-05,0.9795689924833934,5.313895143876204
5,2025-02-01 00:25:00,0.0033669880187122457,1.5585625978470874,,0.009051806042491978,0.0029085613491587614,0.2317876404276546,5.183535293229037e-05,0.9795689924833934,5.313895143876204
6,2025-02-01 00:30:00,0.003325978289922012,1.4597975857327432,,0.009051806042491978,0.0029085613491587614,0.2317876404276546,5.183535293229037e-05,0.9795689924833934,5.313895143876204
7,2025-02-01 00:35:00,0.00328791379988764,1.4540918020689761,,0.009051806042491978,0.0029085613491587614,0.2317876404276546,5.183535293229037e-05,0.9795689924833934,5.313895143876204
8,2025-02-01 00:40:00,0.0032307483971740743,1.3409996579076269,,0.009051806042491978,0.0029085613491587614,0.2317876404276546,5.183535293229037e-05,0.9795689924833934,5.313895143876204
9,2025-02-01 00:45:00,0.0031667876532013115,1.2792293183378773,,0.009051806042491978,0.0029085613491587614,0.2317876404276546,5.183535293229037e-05,0.9795689924833934,5.313895143876204
10,2025-02-01 00:50:00,0.0030352051910728767,0.9138083247779807,,0.009051806042491978,0.0029085613491587614,0.2317876404276546,5.183535293229037e-05,0.9795689924833934,5.313895143876204
11,2025-02-01 00:55:00,0.0029174779353879424,0.917249171784817,,0.009051806042491978,0.0029085613491587614,0.2317876404276546,5.183535293229037e-05,0.9795689924833934,5.313895143876204
12,2025-02-01 01:00:00,0.002807172823322171,0.8957706336704727,,0.009051806042491978,0.0029085613491587614,0.2317876404276546,5.183535293229037e-05,0.9795689924833934,5.313895143876204
13,2025-02-01 01:05:00,0.002694829280944317,0.8312501254276916,,0.009051806042491978,0.0029085613491587614,0.2317876404276546,5.183535293229037e-05,0.9795689924833934,5.313895143876204
14,2025-02-01 01:10:00,0.002593331985452944,0.8293340648559058,,0.009051806042491978,0.0029085613491587614,0.2317876404276546,5.183535293229037e-05,0.9795689924833934,5.313895143876204
15,2025-02-01 01:15:00,0.002504679002724325,0.8426370456823763,,0.009051806042491978,0.0029085613491587614,0.2317876404276546,5.183535293229037e-05,0.9795689924833934,5.313895143876204
16,2025-02-01 01:20:00,0.0024234857611899387,0.8356979024512342,,0.009051806042491978,0.0029085613491587614,0.2317876404276546,5.183535293229037e-05,0.9795689924833934,5.313895143876204
17,2025-02-01 01:25:00,0.0023502307274339577,0.8348037427710838,,0.009051806042491978,0.0029085613491587614,0.2317876404276546,5.183535293229037e-05,0.9795689924833934,5.313895143876204
18,2025-02-01 01:30:00,0.0022836406050918824,0.831542443525949,,0.009051806042491978,0.0029085613491587614,0.2317876404276546,5.183535293229037e-05,0.9795689924833934,5.313895143876204
19,2025-02-01 01:35:00,0.0022224771409951236,0.8254583926037903,,0.009051806042491978,0.0029085613491587614,0.2317876404276546,5.183535293229037e-05,0.9795689924833934,5.313895143876204
20,2025-02-01 01:40:00,0.0021652615044639198,0.814752557111531,,0.009051806042491978,0.0029085613491587614,0.2317876404276546,5.183535293229037e-05,0.9795689924833934,5.313895143876204
21,2025-02-01 01:45:00,0.0021340097413895254,0.9146875147113528,,0.009051806042491978,0.0029085613491587614,0.2317876404276546,5.183535293229037e-05,0.9795689924833934,5.313895143876204
22,2025-02-01 01:50:00,0.0021060249879954365,0.9153877367828996,,0.009051806042491978,0.0029085613491587614,0.2317876404276546,5.183535293229037e-05,0.9795689924833934,5.313895143876204
23,2025-02-01 01:55:00,0.002075409174308846,0.8885824750107053,,0.009051806042491978,0.0029085613491587614,0.2317876404276546,5.183535293229037e-05,0.9795689924833934,5.313895143876204
24,2025-02-01 02:00:00,0.002043405113250483,0.8666139619895075,,0.009051806042491978,0.0029085613491587614,0.2317876404276546,5.183535293229037e-05,0.9795689924833934,5.313895143876204
25,2025-02-01 02:05:00,0.00199879204798044,0.7885639387914992,,0.009051806042491978,0.0029085613491587614,0.2317876404276546,5.183535293229037e-05,0.9795689924833934,5.313895143876204
26,2025-02-01 02:10:00,0.001958708003563145,0.7888982399823083,,0.009051806042491978,0.0029085613491587614,0.2317876404276546,5.183535293229037e-05,0.9795689924833934,5.313895143876204
